mode,overall,alpha,lam,lr,best_auc,test_loss,test_acc,test_auc
Projection,True,0.010000,3000,0.001000,0.838620,0.508602,0.760900,0.850989
Projection,True,0.010000,10000,0.001000,0.841508,0.497237,0.765300,0.853926
Projection,True,0.010000,30000,0.001000,0.838354,0.516499,0.751100,0.845634
Single task,True,1.000000,0,0.001000,0.830533,0.502607,0.760800,0.838106
Multitask,True,1.000000,300,0.001000,0.835932,0.510799,0.756400,0.842549
Multitask,True,1.000000,1000,0.001000,0.841397,0.488922,0.763800,0.850567
Multitask,True,1.000000,3000,0.001000,0.839164,0.494501,0.761800,0.842316
Multitask,True,1.000000,10000,0.001000,0.839283,0.510885,0.756800,0.848340
Multitask,True,1.000000,30000,0.001000,0.831132,0.502455,0.759600,0.839205
Projection,True,1.000000,300,0.001000,0.833610,0.520910,0.749000,0.842386
Projection,True,1.000000,1000,0.001000,0.837558,0.519221,0.755400,0.845019
Projection,True,1.000000,3000,0.001000,0.840918,0.495066,0.759700,0.848414
Projection,True,1.000000,10000,0.001000,0.838833,0.500787,0.758800,0.850444
Projection,True,1.000000,30000,0.001000,0.839229,0.487129,0.762800,0.845298
Projection,False,1.000000,300,0.001000,0.839809,0.498216,0.761000,0.842484
Projection,False,1.000000,1000,0.001000,0.837931,0.511686,0.757000,0.844025
Projection,False,1.000000,3000,0.001000,0.840225,0.487445,0.762100,0.847243
Projection,False,1.000000,10000,0.001000,0.840259,0.497116,0.758700,0.842507
Projection,False,1.000000,30000,0.001000,0.839881,0.492932,0.761400,0.844145
Projection,True,0.010000,300,0.001000,0.837039,0.501390,0.754400,0.844838
Projection,True,0.010000,1000,0.001000,0.835690,0.502744,0.759000,0.844643
Projection,True,0.010000,3000,0.001000,0.838848,0.530694,0.751500,0.845739
Projection,True,0.010000,10000,0.001000,0.839536,0.490670,0.770200,0.849196
Projection,True,0.010000,30000,0.001000,0.835056,0.496880,0.760900,0.844055
Single task,True,1.000000,0,0.001000,0.833662,0.510663,0.755500,0.840919
Multitask,True,1.000000,300,0.001000,0.839110,0.498724,0.761700,0.849025
Multitask,True,1.000000,1000,0.001000,0.840962,0.496236,0.763200,0.851252
Multitask,True,1.000000,3000,0.001000,0.842125,0.508448,0.755600,0.850392
Multitask,True,1.000000,10000,0.001000,0.839980,0.494263,0.766500,0.850416
Multitask,True,1.000000,30000,0.001000,0.836173,0.528550,0.740500,0.839421
Projection,True,1.000000,300,0.001000,0.841401,0.484898,0.765300,0.849608
Projection,True,1.000000,1000,0.001000,0.841477,0.488853,0.764700,0.851176
Projection,True,1.000000,3000,0.001000,0.844927,0.501562,0.760300,0.852529
Projection,True,1.000000,10000,0.001000,0.844173,0.491835,0.761000,0.852757
Projection,True,1.000000,30000,0.001000,0.844678,0.486652,0.766700,0.853975
Projection,False,1.000000,300,0.001000,0.840841,0.503666,0.759000,0.849691
Projection,False,1.000000,1000,0.001000,0.841298,0.499395,0.761900,0.847859
Projection,False,1.000000,3000,0.001000,0.848271,0.489556,0.766600,0.853224
Projection,False,1.000000,10000,0.001000,0.846799,0.490840,0.770700,0.855970
Projection,False,1.000000,30000,0.001000,0.842708,0.497757,0.762000,0.852239
Projection,True,0.010000,300,0.001000,0.838842,0.515488,0.753200,0.844343
Projection,True,0.010000,1000,0.001000,0.839978,0.543988,0.749700,0.845826
Projection,True,0.010000,3000,0.001000,0.839649,0.494550,0.763200,0.846838
Projection,True,0.010000,10000,0.001000,0.839698,0.500018,0.754000,0.844100
Projection,True,0.010000,30000,0.001000,0.842867,0.483645,0.765700,0.847814
Single task,True,1.000000,0,0.001000,0.836528,0.501259,0.760600,0.846922
Multitask,True,1.000000,300,0.001000,0.838926,0.492937,0.767100,0.849329
Multitask,True,1.000000,1000,0.001000,0.837417,0.486442,0.765900,0.848713
Multitask,True,1.000000,3000,0.001000,0.838476,0.497967,0.762200,0.844589
Multitask,True,1.000000,10000,0.001000,0.842845,0.490551,0.766500,0.846596
Multitask,True,1.000000,30000,0.001000,0.832637,0.520971,0.747300,0.842433
Projection,True,1.000000,300,0.001000,0.838077,0.494729,0.762600,0.846907
Projection,True,1.000000,1000,0.001000,0.843216,0.487581,0.768400,0.849432
Projection,True,1.000000,3000,0.001000,0.840158,0.495023,0.764600,0.849086
Projection,True,1.000000,10000,0.001000,0.846489,0.484948,0.771500,0.853273
Projection,True,1.000000,30000,0.001000,0.838696,0.536783,0.741300,0.847729
Projection,False,1.000000,300,0.001000,0.837289,0.503033,0.761300,0.847937
Projection,False,1.000000,1000,0.001000,0.838804,0.487580,0.766400,0.847383
Projection,False,1.000000,3000,0.001000,0.839880,0.518635,0.751300,0.846008
Projection,False,1.000000,10000,0.001000,0.842675,0.489967,0.765500,0.853394
Projection,False,1.000000,30000,0.001000,0.841418,0.497679,0.763300,0.851386
Projection,True,0.010000,300,0.001000,0.835103,0.519041,0.751400,0.843784
Projection,True,0.010000,1000,0.001000,0.838924,0.518368,0.755000,0.848483
Projection,True,0.010000,3000,0.001000,0.841831,0.490230,0.768800,0.850744
Projection,True,0.010000,10000,0.001000,0.840453,0.524902,0.749100,0.847617
Projection,True,0.010000,30000,0.001000,0.836696,0.496407,0.763800,0.844936
Single task,True,1.000000,0,0.001000,0.833598,0.512993,0.756400,0.845416
Multitask,True,1.000000,300,0.001000,0.838891,0.492419,0.763000,0.846541
Multitask,True,1.000000,1000,0.001000,0.839357,0.502338,0.758300,0.847760
Multitask,True,1.000000,3000,0.001000,0.841906,0.490409,0.765800,0.851865
Multitask,True,1.000000,10000,0.001000,0.840816,0.498802,0.759700,0.844896
Multitask,True,1.000000,30000,0.001000,0.832486,0.493232,0.761100,0.841923
Projection,True,1.000000,300,0.001000,0.837950,0.499589,0.762200,0.848487
Projection,True,1.000000,1000,0.001000,0.835253,0.505012,0.757700,0.844399
Projection,True,1.000000,3000,0.001000,0.833966,0.496027,0.763300,0.845394
Projection,True,1.000000,10000,0.001000,0.838993,0.500038,0.759400,0.850012
Projection,True,1.000000,30000,0.001000,0.834593,0.517824,0.752300,0.841093
Projection,False,1.000000,300,0.001000,0.836910,0.504048,0.760900,0.846897
Projection,False,1.000000,1000,0.001000,0.837304,0.514386,0.752700,0.844156
Projection,False,1.000000,3000,0.001000,0.841958,0.497630,0.762800,0.848956
Projection,False,1.000000,10000,0.001000,0.840674,0.517761,0.755100,0.851681
Projection,False,1.000000,30000,0.001000,0.841770,0.508638,0.757000,0.847447
Projection,True,0.010000,300,0.001000,0.838233,0.509911,0.756400,0.848935
Projection,True,0.010000,1000,0.001000,0.837302,0.529244,0.755700,0.847384
Projection,True,0.010000,3000,0.001000,0.841112,0.506903,0.759600,0.850825
Projection,True,0.010000,10000,0.001000,0.837322,0.503255,0.762400,0.848273
Projection,True,0.010000,30000,0.001000,0.839459,0.480740,0.770900,0.849275
Single task,True,1.000000,0,0.001000,0.833134,0.517909,0.751200,0.842861
Multitask,True,1.000000,300,0.001000,0.838913,0.494320,0.764400,0.846105
Multitask,True,1.000000,1000,0.001000,0.842551,0.485849,0.768300,0.848512
Multitask,True,1.000000,3000,0.001000,0.842708,0.489191,0.763800,0.849431
Multitask,True,1.000000,10000,0.001000,0.839670,0.519135,0.753900,0.844409
Multitask,True,1.000000,30000,0.001000,0.837307,0.493641,0.757900,0.842227
Projection,True,1.000000,300,0.001000,0.839761,0.492233,0.767300,0.849403
Projection,True,1.000000,1000,0.001000,0.842571,0.498336,0.764200,0.848815
Projection,True,1.000000,3000,0.001000,0.843102,0.485970,0.765400,0.848337
Projection,True,1.000000,10000,0.001000,0.843589,0.484299,0.768300,0.851352
Projection,True,1.000000,30000,0.001000,0.840618,0.517864,0.754800,0.850024
Projection,False,1.000000,300,0.001000,0.839160,0.492829,0.765300,0.846326
Projection,False,1.000000,1000,0.001000,0.841648,0.506275,0.755300,0.847620
Projection,False,1.000000,3000,0.001000,0.843786,0.488908,0.766300,0.851517
Projection,False,1.000000,10000,0.001000,0.842748,0.513341,0.757400,0.850125
Projection,False,1.000000,30000,0.001000,0.843231,0.505843,0.755800,0.844997
Projection,True,0.010000,300,0.001000,0.839683,0.521680,0.752600,0.847727
Projection,True,0.010000,1000,0.001000,0.837226,0.541914,0.746100,0.844191
Projection,True,0.010000,3000,0.001000,0.842508,0.509893,0.757800,0.850137
Projection,True,0.010000,10000,0.001000,0.843065,0.493319,0.764100,0.847031
Projection,True,0.010000,30000,0.001000,0.835727,0.493378,0.764100,0.843398
Single task,True,1.000000,0,0.001000,0.835230,0.507542,0.753500,0.841964
Multitask,True,1.000000,300,0.001000,0.838311,0.490350,0.765900,0.848094
Multitask,True,1.000000,1000,0.001000,0.835426,0.494030,0.762100,0.844816
Multitask,True,1.000000,3000,0.001000,0.838928,0.503375,0.756800,0.847286
Multitask,True,1.000000,10000,0.001000,0.835700,0.514702,0.753100,0.843177
Multitask,True,1.000000,30000,0.001000,0.828044,0.504809,0.756200,0.837774
Projection,True,1.000000,300,0.001000,0.834087,0.501399,0.761100,0.842127
Projection,True,1.000000,1000,0.001000,0.836522,0.497930,0.760300,0.846291
Projection,True,1.000000,3000,0.001000,0.839410,0.495501,0.766400,0.845520
Projection,True,1.000000,10000,0.001000,0.838751,0.518391,0.755600,0.846435
Projection,True,1.000000,30000,0.001000,0.839021,0.495768,0.764100,0.847433
Projection,False,1.000000,300,0.001000,0.835639,0.490669,0.766400,0.845865
Projection,False,1.000000,1000,0.001000,0.839532,0.490363,0.768300,0.849058
Projection,False,1.000000,3000,0.001000,0.839083,0.489897,0.766100,0.848539
Projection,False,1.000000,10000,0.001000,0.841579,0.492983,0.763400,0.847950
Projection,False,1.000000,30000,0.001000,0.839053,0.498426,0.763800,0.849830
Projection,True,0.010000,300,0.001000,0.833229,0.523863,0.750200,0.843730
Projection,True,0.010000,1000,0.001000,0.834525,0.494879,0.760000,0.845777
Projection,True,0.010000,3000,0.001000,0.832862,0.529094,0.749900,0.841345
Projection,True,0.010000,10000,0.001000,0.833578,0.507235,0.758400,0.842135
Projection,True,0.010000,30000,0.001000,0.835044,0.496684,0.758100,0.841226
Unweighted cosine,True,1.000000,300,0.001000,0.839110,0.486856,0.766200,0.848611
Weighted cosine,True,1.000000,300,0.001000,0.834438,0.502053,0.757300,0.843458
Unweighted cosine,True,1.000000,1000,0.001000,0.835758,0.497215,0.761200,0.844227
Weighted cosine,True,1.000000,1000,0.001000,0.838494,0.499279,0.760900,0.845710
Unweighted cosine,True,1.000000,3000,0.001000,0.842744,0.484720,0.771200,0.848929
Weighted cosine,True,1.000000,3000,0.001000,0.839836,0.499417,0.762700,0.848339
Unweighted cosine,True,1.000000,10000,0.001000,0.843966,0.499776,0.764400,0.848036
Weighted cosine,True,1.000000,10000,0.001000,0.837660,0.503181,0.763000,0.846044
Unweighted cosine,True,1.000000,30000,0.001000,0.840078,0.520090,0.751700,0.847102
Weighted cosine,True,1.000000,30000,0.001000,0.833648,0.500732,0.763400,0.842314
Unweighted cosine,False,1.000000,300,0.001000,0.833398,0.509572,0.753500,0.843523
Weighted cosine,False,1.000000,300,0.001000,0.833969,0.519193,0.753000,0.844120
Unweighted cosine,False,1.000000,1000,0.001000,0.836054,0.492224,0.763600,0.845077
Weighted cosine,False,1.000000,1000,0.001000,0.834636,0.493333,0.761000,0.843807
Unweighted cosine,False,1.000000,3000,0.001000,0.838817,0.488632,0.764200,0.847128
Weighted cosine,False,1.000000,3000,0.001000,0.830073,0.493089,0.762800,0.841956
Unweighted cosine,False,1.000000,10000,0.001000,0.840473,0.502301,0.761000,0.846931
Weighted cosine,False,1.000000,10000,0.001000,0.829844,0.519242,0.750300,0.837452
Unweighted cosine,False,1.000000,30000,0.001000,0.696223,0.690061,0.496000,0.680998
Weighted cosine,False,1.000000,30000,0.001000,0.834419,0.514742,0.754600,0.844976
Unweighted cosine,True,1.000000,300,0.001000,0.830298,0.509832,0.750100,0.840431
Weighted cosine,True,1.000000,300,0.001000,0.834197,0.517185,0.757800,0.842931
Unweighted cosine,True,1.000000,1000,0.001000,0.835791,0.489474,0.761400,0.844521
Weighted cosine,True,1.000000,1000,0.001000,0.831521,0.506804,0.754300,0.840826
Unweighted cosine,True,1.000000,3000,0.001000,0.840981,0.488693,0.768300,0.851933
Weighted cosine,True,1.000000,3000,0.001000,0.833057,0.502434,0.756200,0.843995
Unweighted cosine,True,1.000000,10000,0.001000,0.667434,0.693922,0.495100,0.671937
Weighted cosine,True,1.000000,10000,0.001000,0.837263,0.483171,0.768700,0.850609
Unweighted cosine,True,1.000000,30000,0.001000,0.835208,0.507617,0.749700,0.840114
Weighted cosine,True,1.000000,30000,0.001000,0.839308,0.503559,0.762000,0.849709
Unweighted cosine,False,1.000000,300,0.001000,0.831918,0.528813,0.746500,0.835534
Weighted cosine,False,1.000000,300,0.001000,0.832194,0.502761,0.760400,0.839198
Unweighted cosine,False,1.000000,1000,0.001000,0.834452,0.492160,0.761400,0.844515
Weighted cosine,False,1.000000,1000,0.001000,0.833245,0.524039,0.746200,0.840764
Unweighted cosine,False,1.000000,3000,0.001000,0.836437,0.490150,0.763200,0.844103
Weighted cosine,False,1.000000,3000,0.001000,0.818788,0.537081,0.743900,0.824422
Unweighted cosine,False,1.000000,10000,0.001000,0.835179,0.512812,0.748600,0.837404
Weighted cosine,False,1.000000,10000,0.001000,0.822627,0.546790,0.732300,0.826831
Unweighted cosine,False,1.000000,30000,0.001000,0.783388,0.570258,0.706300,0.779162
Weighted cosine,False,1.000000,30000,0.001000,0.832980,0.535862,0.747200,0.837431
Unweighted cosine,True,1.000000,300,0.001000,0.835137,0.516630,0.754500,0.843290
Weighted cosine,True,1.000000,300,0.001000,0.835166,0.498310,0.762300,0.842858
Unweighted cosine,True,1.000000,1000,0.001000,0.838117,0.512571,0.760200,0.846338
Weighted cosine,True,1.000000,1000,0.001000,0.832734,0.514086,0.754300,0.842644
Unweighted cosine,True,1.000000,3000,0.001000,0.836348,0.498042,0.762200,0.846375
Weighted cosine,True,1.000000,3000,0.001000,0.838173,0.504519,0.758800,0.848328
Unweighted cosine,True,1.000000,10000,0.001000,0.845220,0.495061,0.764400,0.852077
Weighted cosine,True,1.000000,10000,0.001000,0.835089,0.520127,0.749300,0.844297
Unweighted cosine,True,1.000000,30000,0.001000,0.839050,0.513051,0.751200,0.844559
Weighted cosine,True,1.000000,30000,0.001000,0.840236,0.500119,0.763700,0.847706
Unweighted cosine,False,1.000000,300,0.001000,0.835557,0.495883,0.764200,0.843829
Weighted cosine,False,1.000000,300,0.001000,0.832130,0.505081,0.759300,0.840832
Unweighted cosine,False,1.000000,1000,0.001000,0.837653,0.513007,0.757100,0.846958
Weighted cosine,False,1.000000,1000,0.001000,0.828790,0.536770,0.739300,0.834823
Unweighted cosine,False,1.000000,3000,0.001000,0.838012,0.502739,0.757800,0.845140
Weighted cosine,False,1.000000,3000,0.001000,0.819754,0.541575,0.734700,0.824870
Unweighted cosine,False,1.000000,10000,0.001000,0.842047,0.490382,0.763800,0.847895
