run,mode,overall,alpha,lam,loss
2,Multitask,False,1,30,0.3128056
2,Projection,False,0.01,30,0.30323538
2,Projection,False,1,30,0.31999335
2,Weighted cosine,False,0.01,30,0.3099964
2,Weighted cosine,False,1,30,0.35413554
2,Unweighted cosine,False,0.01,30,0.3194603
2,Unweighted cosine,False,1,30,0.30188137
2,Orthogonal,False,0.01,30,0.31420383
2,Orthogonal,False,1,30,0.3170159
2,Multitask,False,1,10,0.33906642
2,Projection,False,0.01,10,0.3019187
2,Projection,False,1,10,0.31990528
2,Weighted cosine,False,0.01,10,0.296249
2,Weighted cosine,False,1,10,0.30395845
2,Unweighted cosine,False,0.01,10,0.31233504
2,Unweighted cosine,False,1,10,0.29703575
2,Orthogonal,False,0.01,10,0.31926852
2,Orthogonal,False,1,10,0.3074728
2,Multitask,False,1,3,0.30056217
2,Projection,False,0.01,3,0.35378733
2,Projection,False,1,3,0.28770065
2,Weighted cosine,False,0.01,3,0.31945252
2,Weighted cosine,False,1,3,0.29760772
2,Unweighted cosine,False,0.01,3,0.31907052
2,Unweighted cosine,False,1,3,0.3041213
2,Orthogonal,False,0.01,3,0.29728425
2,Orthogonal,False,1,3,0.33258054
2,Multitask,False,1,1,0.32044765
2,Projection,False,0.01,1,0.31694087
2,Projection,False,1,1,0.2916774
2,Weighted cosine,False,0.01,1,0.31415388
2,Weighted cosine,False,1,1,0.3028718
2,Unweighted cosine,False,0.01,1,0.3341193
2,Unweighted cosine,False,1,1,0.3001863
2,Orthogonal,False,0.01,1,0.33575913
2,Orthogonal,False,1,1,0.31160513
3,Single task,False,1,0,0.32650098
3,Multitask,False,1,300,0.6430633
3,Projection,False,0.01,300,0.3011783
3,Projection,False,1,300,0.56847924
3,Weighted cosine,False,0.01,300,0.301261
3,Weighted cosine,False,1,300,0.30610958
3,Unweighted cosine,False,0.01,300,0.3063936
3,Unweighted cosine,False,1,300,0.324036
3,Orthogonal,False,0.01,300,0.29891726
3,Orthogonal,False,1,300,0.57566625
3,Multitask,False,1,100,0.4529314
3,Projection,False,0.01,100,0.29786146
3,Projection,False,1,100,0.36534148
3,Weighted cosine,False,0.01,100,0.3093385
3,Weighted cosine,False,1,100,0.2948042
3,Unweighted cosine,False,0.01,100,0.29982817
3,Unweighted cosine,False,1,100,0.30121037
3,Orthogonal,False,0.01,100,0.29891548
3,Orthogonal,False,1,100,0.3566559
3,Multitask,False,1,30,0.3077008
3,Projection,False,0.01,30,0.30729437
