lam,final_lam,beta,lr,log,best_auc,test_loss,test_acc,test_auc
3000.000000,2999.920654,100.000000,0.001000,True,0.843993,0.509841,0.761500,0.850787
10000.000000,9999.921875,100.000000,0.001000,True,0.843525,0.495022,0.765700,0.845918
30000.000000,29999.988281,100.000000,0.001000,True,0.838036,0.529045,0.749000,0.843759
300.000000,298.738037,1000.000000,0.001000,True,0.836940,0.491206,0.767900,0.847072
1000.000000,999.141907,1000.000000,0.001000,True,0.836457,0.490710,0.769400,0.846697
3000.000000,2999.505127,1000.000000,0.001000,True,0.841820,0.486295,0.763900,0.849165
10000.000000,9999.038086,1000.000000,0.001000,True,0.838917,0.525936,0.750000,0.845909
30000.000000,29998.480469,1000.000000,0.001000,True,0.836184,0.491141,0.763700,0.843931
300.000000,285.075958,10000.000000,0.001000,True,0.837979,0.487962,0.767800,0.846992
1000.000000,989.989746,10000.000000,0.001000,True,0.839218,0.490038,0.766300,0.846072
3000.000000,2995.917969,10000.000000,0.001000,True,0.841242,0.492954,0.764500,0.849715
10000.000000,9990.292969,10000.000000,0.001000,True,0.842304,0.495381,0.761400,0.845683
30000.000000,29987.572266,10000.000000,0.001000,True,0.833504,0.500418,0.762100,0.839193
300.000000,11.479266,100000.000000,0.001000,True,0.836655,0.495827,0.759400,0.842980
1000.000000,970.480469,100000.000000,0.001000,True,0.836820,0.494327,0.769200,0.844616
3000.000000,2935.667969,100000.000000,0.001000,True,0.841864,0.517192,0.753100,0.848827
10000.000000,9871.173828,100000.000000,0.001000,True,0.842031,0.498556,0.761900,0.844825
30000.000000,29878.019531,100000.000000,0.001000,True,0.836038,0.499445,0.763600,0.843528
300.000000,299.868256,100.000000,0.001000,True,0.836987,0.506246,0.755700,0.842837
1000.000000,999.844910,100.000000,0.001000,True,0.841821,0.499073,0.760000,0.847571
3000.000000,2999.923096,100.000000,0.001000,True,0.842580,0.505662,0.755500,0.843666
10000.000000,9999.991211,100.000000,0.001000,True,0.838453,0.515477,0.753100,0.848666
30000.000000,30000.000000,100.000000,0.001000,True,0.832821,0.509842,0.749000,0.840353
300.000000,299.033478,1000.000000,0.001000,True,0.835989,0.501402,0.760700,0.843457
1000.000000,998.692017,1000.000000,0.001000,True,0.843139,0.495791,0.761700,0.850989
3000.000000,2999.156250,1000.000000,0.001000,True,0.838529,0.493562,0.760600,0.845006
10000.000000,9999.134766,1000.000000,0.001000,True,0.837516,0.525994,0.749100,0.847366
30000.000000,29999.308594,1000.000000,0.001000,True,0.836650,0.503443,0.753400,0.844431
300.000000,292.115662,10000.000000,0.001000,True,0.836221,0.498062,0.761600,0.842287
1000.000000,989.430420,10000.000000,0.001000,True,0.839353,0.489994,0.764000,0.847210
3000.000000,2993.876709,10000.000000,0.001000,True,0.838986,0.492296,0.762400,0.844574
10000.000000,9994.307617,10000.000000,0.001000,True,0.838211,0.490667,0.761900,0.846848
30000.000000,29994.498047,10000.000000,0.001000,True,0.835959,0.505612,0.758000,0.841463
300.000000,43.963905,100000.000000,0.001000,True,0.836597,0.507190,0.759000,0.843541
1000.000000,861.797607,100000.000000,0.001000,True,0.838545,0.500022,0.759600,0.847567
3000.000000,2934.120117,100000.000000,0.001000,True,0.840297,0.496098,0.760800,0.844211
10000.000000,9928.737305,100000.000000,0.001000,True,0.837512,0.496384,0.755400,0.845856
30000.000000,29932.138672,100000.000000,0.001000,True,0.833522,0.520751,0.746200,0.841648
300.000000,299.432465,100.000000,0.001000,True,0.839548,0.511571,0.754100,0.849657
1000.000000,999.745483,100.000000,0.001000,True,0.839532,0.497946,0.761400,0.852145
3000.000000,2999.908203,100.000000,0.001000,True,0.839547,0.498862,0.756500,0.848182
10000.000000,9999.945312,100.000000,0.001000,True,0.845643,0.495306,0.767400,0.853387
30000.000000,30000.000000,100.000000,0.001000,True,0.838373,0.520800,0.748500,0.843590
300.000000,294.960754,1000.000000,0.001000,True,0.837312,0.494867,0.763600,0.847366
1000.000000,998.408508,1000.000000,0.001000,True,0.841647,0.492032,0.765900,0.851438
3000.000000,2998.826904,1000.000000,0.001000,True,0.839277,0.527847,0.745300,0.845502
10000.000000,9999.402344,1000.000000,0.001000,True,0.840848,0.513720,0.750700,0.844831
30000.000000,29999.402344,1000.000000,0.001000,True,0.839660,0.502422,0.755900,0.845040
300.000000,241.360535,10000.000000,0.001000,True,0.837885,0.501743,0.757400,0.848346
1000.000000,983.175049,10000.000000,0.001000,True,0.839825,0.483044,0.769600,0.852350
3000.000000,2991.311523,10000.000000,0.001000,True,0.837411,0.503716,0.761200,0.847295
10000.000000,9991.640625,10000.000000,0.001000,True,0.843650,0.500652,0.762900,0.850619
30000.000000,29992.042969,10000.000000,0.001000,True,0.838565,0.517760,0.752000,0.841365
300.000000,-5015.735840,100000.000000,0.001000,True,0.819362,0.555698,0.716300,0.828803
1000.000000,806.599792,100000.000000,0.001000,True,0.840970,0.491766,0.763900,0.850534
3000.000000,2923.185791,100000.000000,0.001000,True,0.839449,0.491986,0.763000,0.847467
10000.000000,9911.986328,100000.000000,0.001000,True,0.839863,0.515851,0.754300,0.846410
30000.000000,29902.595703,100000.000000,0.001000,True,0.841057,0.501542,0.755700,0.843341
300.000000,299.992584,100.000000,0.001000,True,0.837766,0.515904,0.751400,0.848675
1000.000000,1000.039673,100.000000,0.001000,True,0.838612,0.490703,0.764200,0.849181
3000.000000,2999.888672,100.000000,0.001000,True,0.838944,0.498270,0.761700,0.845325
10000.000000,9999.894531,100.000000,0.001000,True,0.841793,0.520104,0.755800,0.844641
30000.000000,30000.000000,100.000000,0.001000,True,0.837657,0.502572,0.753700,0.836924
300.000000,299.063629,1000.000000,0.001000,True,0.837342,0.503686,0.759900,0.846805
1000.000000,999.754517,1000.000000,0.001000,True,0.835083,0.488846,0.765800,0.848663
3000.000000,2998.830566,1000.000000,0.001000,True,0.841756,0.508974,0.758400,0.848077
10000.000000,9999.260742,1000.000000,0.001000,True,0.839726,0.498304,0.766100,0.848320
30000.000000,29999.189453,1000.000000,0.001000,True,0.833511,0.505745,0.748800,0.835418
300.000000,287.584839,10000.000000,0.001000,True,0.835193,0.502739,0.756600,0.845647
1000.000000,1001.631042,10000.000000,0.001000,True,0.837394,0.501487,0.758500,0.849379
3000.000000,2994.050537,10000.000000,0.001000,True,0.844416,0.485977,0.772000,0.850218
10000.000000,9988.445312,10000.000000,0.001000,True,0.842882,0.492474,0.761300,0.847951
30000.000000,29991.802734,10000.000000,0.001000,True,0.829517,0.516195,0.745100,0.835240
300.000000,267.398865,100000.000000,0.001000,True,0.839697,0.495476,0.762900,0.848694
1000.000000,1019.400696,100000.000000,0.001000,True,0.838736,0.504423,0.756100,0.849784
3000.000000,2884.650391,100000.000000,0.001000,True,0.841078,0.502721,0.756700,0.847449
10000.000000,9881.091797,100000.000000,0.001000,True,0.837903,0.510251,0.755000,0.849203
30000.000000,29864.509766,100000.000000,0.001000,True,0.837320,0.513965,0.751100,0.838744
300.000000,299.950470,100.000000,0.001000,True,0.838686,0.502803,0.760300,0.844838
1000.000000,999.962769,100.000000,0.001000,True,0.840812,0.496855,0.761600,0.847073
3000.000000,2999.964355,100.000000,0.001000,True,0.841773,0.486922,0.765600,0.851109
10000.000000,9999.957031,100.000000,0.001000,True,0.840112,0.504157,0.757800,0.845028
30000.000000,30000.000000,100.000000,0.001000,True,0.835899,0.503292,0.753800,0.842700
300.000000,299.445251,1000.000000,0.001000,True,0.839267,0.493578,0.760200,0.845536
1000.000000,999.778503,1000.000000,0.001000,True,0.841641,0.509290,0.756700,0.847450
3000.000000,2999.764160,1000.000000,0.001000,True,0.842346,0.484208,0.768800,0.850447
10000.000000,9999.215820,1000.000000,0.001000,True,0.838723,0.504704,0.758100,0.846049
30000.000000,29999.345703,1000.000000,0.001000,True,0.833344,0.513458,0.751500,0.839829
300.000000,294.849365,10000.000000,0.001000,True,0.837030,0.494807,0.762800,0.846689
1000.000000,997.493286,10000.000000,0.001000,True,0.841918,0.499196,0.757700,0.850197
3000.000000,2995.985840,10000.000000,0.001000,True,0.840227,0.487342,0.764900,0.850085
10000.000000,9992.207031,10000.000000,0.001000,True,0.837770,0.500357,0.761900,0.844080
30000.000000,29993.146484,10000.000000,0.001000,True,0.832950,0.523828,0.747900,0.840414
300.000000,163.472855,100000.000000,0.001000,True,0.838461,0.491046,0.759300,0.843699
1000.000000,920.666870,100000.000000,0.001000,True,0.837536,0.506967,0.763800,0.849716
3000.000000,2916.960938,100000.000000,0.001000,True,0.843235,0.506238,0.761300,0.849906
10000.000000,9910.143555,100000.000000,0.001000,True,0.841485,0.509013,0.756400,0.847807
30000.000000,29914.953125,100000.000000,0.001000,True,0.833235,0.521364,0.747600,0.838781
300.000000,299.925079,100.000000,0.001000,True,0.837964,0.507763,0.757500,0.846685
1000.000000,999.924622,100.000000,0.001000,True,0.841538,0.491682,0.764000,0.846971
3000.000000,2999.933594,100.000000,0.001000,True,0.842965,0.489020,0.766200,0.849020
10000.000000,9999.984375,100.000000,0.001000,True,0.841968,0.505346,0.759500,0.846206
30000.000000,29999.998047,100.000000,0.001000,True,0.836550,0.512466,0.750200,0.840073
300.000000,299.324493,1000.000000,0.001000,True,0.838941,0.493182,0.763000,0.845913
1000.000000,999.336792,1000.000000,0.001000,True,0.842112,0.490935,0.765400,0.848709
3000.000000,2999.348877,1000.000000,0.001000,True,0.840034,0.491066,0.768300,0.847440
10000.000000,9999.298828,1000.000000,0.001000,True,0.842463,0.552123,0.743400,0.846296
30000.000000,29999.402344,1000.000000,0.001000,True,0.836476,0.555825,0.737000,0.840110
300.000000,291.681915,10000.000000,0.001000,True,0.840937,0.501946,0.761200,0.847207
1000.000000,992.084290,10000.000000,0.001000,True,0.842298,0.480638,0.769800,0.851001
3000.000000,2991.596924,10000.000000,0.001000,True,0.842105,0.496828,0.764900,0.848534
10000.000000,9992.553711,10000.000000,0.001000,True,0.841555,0.490726,0.766000,0.847400
30000.000000,29994.072266,10000.000000,0.001000,True,0.836223,0.536077,0.740400,0.839702
300.000000,52.982738,100000.000000,0.001000,True,0.838917,0.485902,0.767100,0.848006
1000.000000,909.369995,100000.000000,0.001000,True,0.841853,0.485405,0.768600,0.849246
3000.000000,2934.523926,100000.000000,0.001000,True,0.841494,0.494241,0.763400,0.849722
10000.000000,9930.806641,100000.000000,0.001000,True,0.840898,0.510695,0.757100,0.844347
30000.000000,29949.955078,100000.000000,0.001000,True,0.836402,0.513222,0.751700,0.842289
300.000000,299.796753,100.000000,0.001000,True,0.833239,0.490770,0.762900,0.847453
1000.000000,999.890198,100.000000,0.001000,True,0.836915,0.496068,0.762100,0.846197
3000.000000,2999.958252,100.000000,0.001000,True,0.835416,0.498679,0.761400,0.842537
10000.000000,9999.993164,100.000000,0.001000,True,0.839057,0.523865,0.753600,0.848076
30000.000000,30000.000000,100.000000,0.001000,True,0.831244,0.530032,0.745300,0.839770
300.000000,298.204437,1000.000000,0.001000,True,0.835664,0.503476,0.759500,0.847431
1000.000000,999.791870,1000.000000,0.001000,True,0.837860,0.494133,0.765900,0.846731
3000.000000,2999.588379,1000.000000,0.001000,True,0.837900,0.495181,0.762100,0.845169
10000.000000,9999.455078,1000.000000,0.001000,True,0.837598,0.495620,0.763500,0.843457
30000.000000,29999.423828,1000.000000,0.001000,True,0.833296,0.514379,0.750500,0.836958
300.000000,283.423279,10000.000000,0.001000,True,0.836207,0.489803,0.766900,0.847766
1000.000000,990.848572,10000.000000,0.001000,True,0.837934,0.494774,0.764400,0.847699
3000.000000,2995.786621,10000.000000,0.001000,True,0.836362,0.495385,0.760900,0.843774
10000.000000,9993.298828,10000.000000,0.001000,True,0.835950,0.520488,0.756600,0.840787
30000.000000,29995.369141,10000.000000,0.001000,True,0.831477,0.515215,0.754000,0.841114
300.000000,-736.425415,100000.000000,0.001000,True,0.833264,0.512941,0.755400,0.843070
1000.000000,944.921448,100000.000000,0.001000,True,0.837112,0.493740,0.766200,0.847456
3000.000000,2946.964600,100000.000000,0.001000,True,0.835602,0.508033,0.757100,0.843630
10000.000000,9926.810547,100000.000000,0.001000,True,0.837955,0.507415,0.754200,0.844167
30000.000000,29951.558594,100000.000000,0.001000,True,0.833011,0.517561,0.749800,0.840636
