lam,alpha,mode,run,accuracy
3.0,1.0,Multitask,10,0.8609375
3.0,1.0,Orthogonal,10,0.8515625
3.0,1.0,Projection,10,0.86328125
3.0,1.0,Unweighted,10,0.865625
3.0,1.0,Weighted,10,0.871875
30.0,0.01,Orthogonal,10,0.84765625
30.0,0.01,Projection,10,0.86171875
30.0,0.01,Unweighted,10,0.86796875
30.0,0.01,Weighted,10,0.85625
30.0,1.0,Multitask,10,0.84765625
30.0,1.0,Orthogonal,10,0.80859375
30.0,1.0,Projection,10,0.83671875
30.0,1.0,Unweighted,10,0.84140625
30.0,1.0,Weighted,10,0.85703125
0.01,0.01,Orthogonal,11,0.853125
0.01,0.01,Projection,11,0.85390625
0.01,0.01,Unweighted,11,0.853125
0.01,0.01,Weighted,11,0.8578125
0.01,1.0,Multitask,11,0.8515625
0.01,1.0,Orthogonal,11,0.85390625
0.01,1.0,Projection,11,0.8515625
0.01,1.0,Unweighted,11,0.85234375
0.01,1.0,Weighted,11,0.85546875
0.03,0.01,Orthogonal,11,0.8546875
0.03,0.01,Projection,11,0.85625
0.03,0.01,Unweighted,11,0.86015625
0.03,0.01,Weighted,11,0.85390625
0.03,1.0,Multitask,11,0.85703125
0.03,1.0,Orthogonal,11,0.85546875
0.03,1.0,Projection,11,0.85546875
0.03,1.0,Unweighted,11,0.85859375
0.03,1.0,Weighted,11,0.853125
0.0,1.0,Single task,11,0.8578125
0.1,0.01,Orthogonal,11,0.85703125
0.1,0.01,Projection,11,0.85390625
0.1,0.01,Unweighted,11,0.8515625
0.1,0.01,Weighted,11,0.85546875
0.1,1.0,Multitask,11,0.85859375
0.1,1.0,Orthogonal,11,0.86015625
0.1,1.0,Projection,11,0.85859375
0.1,1.0,Unweighted,11,0.8546875
0.1,1.0,Weighted,11,0.85859375
0.3,0.01,Orthogonal,11,0.86328125
0.3,0.01,Projection,11,0.859375
0.3,0.01,Unweighted,11,0.85
0.3,0.01,Weighted,11,0.84921875
0.3,1.0,Multitask,11,0.87265625
0.3,1.0,Orthogonal,11,0.87109375
0.3,1.0,Projection,11,0.8734375
0.3,1.0,Unweighted,11,0.8609375
0.3,1.0,Weighted,11,0.853125
1.0,0.01,Orthogonal,11,0.86953125
1.0,0.01,Projection,11,0.871875
1.0,0.01,Unweighted,11,0.84765625
1.0,0.01,Weighted,11,0.8515625
1.0,1.0,Multitask,11,0.8625
1.0,1.0,Orthogonal,11,0.8671875
1.0,1.0,Projection,11,0.86875
1.0,1.0,Unweighted,11,0.871875
1.0,1.0,Weighted,11,0.86953125
10.0,0.01,Orthogonal,11,0.86171875
10.0,0.01,Projection,11,0.87265625
10.0,0.01,Unweighted,11,0.85390625
10.0,0.01,Weighted,11,0.84296875
10.0,1.0,Multitask,11,0.86015625
10.0,1.0,Orthogonal,11,0.86484375
10.0,1.0,Projection,11,0.86328125
10.0,1.0,Unweighted,11,0.8453125
10.0,1.0,Weighted,11,0.85390625
100.0,0.01,Orthogonal,11,0.821875
100.0,0.01,Projection,11,0.85
100.0,0.01,Unweighted,11,0.86640625
100.0,0.01,Weighted,11,0.86328125
100.0,1.0,Multitask,11,0.83125
100.0,1.0,Orthogonal,11,0.58515625
100.0,1.0,Projection,11,0.84375
100.0,1.0,Unweighted,11,0.8390625
100.0,1.0,Weighted,11,0.846875
3.0,0.01,Orthogonal,11,0.86796875
3.0,0.01,Projection,11,0.86484375
3.0,0.01,Unweighted,11,0.84921875
3.0,0.01,Weighted,11,0.85703125
3.0,1.0,Multitask,11,0.871875
3.0,1.0,Orthogonal,11,0.85234375
3.0,1.0,Projection,11,0.86796875
3.0,1.0,Unweighted,11,0.8625
3.0,1.0,Weighted,11,0.86875
30.0,0.01,Orthogonal,11,0.84296875
30.0,0.01,Projection,11,0.86640625
30.0,0.01,Unweighted,11,0.8609375
30.0,0.01,Weighted,11,0.85546875
30.0,1.0,Multitask,11,0.8515625
30.0,1.0,Orthogonal,11,0.8375
30.0,1.0,Projection,11,0.84609375
30.0,1.0,Unweighted,11,0.83828125
30.0,1.0,Weighted,11,0.86171875
0.01,0.01,Orthogonal,12,0.85625
0.01,0.01,Projection,12,0.85703125
0.01,0.01,Unweighted,12,0.85546875
0.01,0.01,Weighted,12,0.85390625
0.01,1.0,Multitask,12,0.85703125
0.01,1.0,Orthogonal,12,0.8578125
0.01,1.0,Projection,12,0.85703125
0.01,1.0,Unweighted,12,0.85546875
0.01,1.0,Weighted,12,0.85390625
0.03,0.01,Orthogonal,12,0.85390625
0.03,0.01,Projection,12,0.853125
0.03,0.01,Unweighted,12,0.8515625
0.03,0.01,Weighted,12,0.85234375
0.03,1.0,Multitask,12,0.8546875
0.03,1.0,Orthogonal,12,0.85390625
0.03,1.0,Projection,12,0.8546875
0.03,1.0,Unweighted,12,0.85390625
0.03,1.0,Weighted,12,0.85390625
0.0,1.0,Single task,12,0.85390625
0.1,0.01,Orthogonal,12,0.86171875
0.1,0.01,Projection,12,0.86484375
0.1,0.01,Unweighted,12,0.8625
0.1,0.01,Weighted,12,0.859375
0.1,1.0,Multitask,12,0.8609375
0.1,1.0,Orthogonal,12,0.86171875
0.1,1.0,Projection,12,0.86015625
0.1,1.0,Unweighted,12,0.859375
0.1,1.0,Weighted,12,0.85703125
0.3,0.01,Orthogonal,12,0.86796875
0.3,0.01,Projection,12,0.86953125
0.3,0.01,Unweighted,12,0.85703125
0.3,0.01,Weighted,12,0.859375
0.3,1.0,Multitask,12,0.86953125
0.3,1.0,Orthogonal,12,0.86640625
0.3,1.0,Projection,12,0.86796875
0.3,1.0,Unweighted,12,0.87109375
0.3,1.0,Weighted,12,0.8609375
1.0,0.01,Orthogonal,12,0.86484375
1.0,0.01,Projection,12,0.865625
1.0,0.01,Unweighted,12,0.8625
1.0,0.01,Weighted,12,0.859375
1.0,1.0,Multitask,12,0.86015625
1.0,1.0,Orthogonal,12,0.86875
1.0,1.0,Projection,12,0.8609375
1.0,1.0,Unweighted,12,0.87265625
1.0,1.0,Weighted,12,0.8640625
10.0,0.01,Orthogonal,12,0.85078125
10.0,0.01,Projection,12,0.85703125
10.0,0.01,Unweighted,12,0.86171875
10.0,0.01,Weighted,12,0.87265625
10.0,1.0,Multitask,12,0.84765625
10.0,1.0,Orthogonal,12,0.86484375
10.0,1.0,Projection,12,0.85703125
10.0,1.0,Unweighted,12,0.8484375
10.0,1.0,Weighted,12,0.86640625
100.0,0.01,Orthogonal,12,0.840625
100.0,0.01,Projection,12,0.84140625
100.0,0.01,Unweighted,12,0.86640625
100.0,0.01,Weighted,12,0.8625
100.0,1.0,Multitask,12,0.8359375
100.0,1.0,Orthogonal,12,0.5890625
100.0,1.0,Projection,12,0.83203125
100.0,1.0,Unweighted,12,0.83046875
100.0,1.0,Weighted,12,0.85
3.0,0.01,Orthogonal,12,0.86171875
3.0,0.01,Projection,12,0.85078125
3.0,0.01,Unweighted,12,0.85390625
3.0,0.01,Weighted,12,0.85625
3.0,1.0,Multitask,12,0.859375
3.0,1.0,Orthogonal,12,0.8515625
3.0,1.0,Projection,12,0.86328125
3.0,1.0,Unweighted,12,0.86015625
3.0,1.0,Weighted,12,0.87265625
30.0,0.01,Orthogonal,12,0.825
30.0,0.01,Projection,12,0.853125
30.0,0.01,Unweighted,12,0.86328125
30.0,0.01,Weighted,12,0.86484375
30.0,1.0,Multitask,12,0.846875
30.0,1.0,Orthogonal,12,0.61875
30.0,1.0,Projection,12,0.840625
30.0,1.0,Unweighted,12,0.83671875
30.0,1.0,Weighted,12,0.8671875
0.01,0.01,Orthogonal,13,0.86953125
0.01,0.01,Projection,13,0.86875
0.01,0.01,Unweighted,13,0.86875
0.01,0.01,Weighted,13,0.86796875
0.01,1.0,Multitask,13,0.86875
0.01,1.0,Orthogonal,13,0.86875
0.01,1.0,Projection,13,0.86875
0.01,1.0,Unweighted,13,0.86953125
0.01,1.0,Weighted,13,0.86875
0.03,0.01,Orthogonal,13,0.86640625
0.03,0.01,Projection,13,0.8671875
0.03,0.01,Unweighted,13,0.86875
0.03,0.01,Weighted,13,0.86796875
0.03,1.0,Multitask,13,0.8671875
0.03,1.0,Orthogonal,13,0.86640625
0.03,1.0,Projection,13,0.8671875
0.03,1.0,Unweighted,13,0.86875
0.03,1.0,Weighted,13,0.86953125
0.0,1.0,Single task,13,0.8671875
0.1,0.01,Orthogonal,13,0.86875
0.1,0.01,Projection,13,0.8703125
0.1,0.01,Unweighted,13,0.86328125
0.1,0.01,Weighted,13,0.8671875
0.1,1.0,Multitask,13,0.8734375
0.1,1.0,Orthogonal,13,0.871875
0.1,1.0,Projection,13,0.87109375
0.1,1.0,Unweighted,13,0.875
0.1,1.0,Weighted,13,0.86875
0.3,0.01,Orthogonal,13,0.8640625
